# n-contour  m_stars    SSFR
    1.0000    8.3303   -9.1924
    1.0000    8.3846   -9.3646
    1.0000    8.4480   -9.5772
    1.0000    8.6290   -9.6987
    1.0000    8.9276   -9.8304
    1.0000    9.1176   -9.9114
    1.0000    9.3620   -9.8202
    1.0000    9.5792   -9.8304
    1.0000    9.6516   -9.7392
    1.0000    9.5882   -9.5772
    1.0000    9.4344   -9.4861
    1.0000    9.2262   -9.4051
    1.0000    9.0181   -9.3342
    1.0000    8.8280   -9.2937
    1.0000    8.6109   -9.2025
    1.0000    8.4480   -9.1519
    2.0000    8.9638  -10.2354
    2.0000    8.9457  -10.1038
    2.0000    8.7376   -9.9316
    2.0000    8.5113   -9.7696
    2.0000    8.3484   -9.5671
    2.0000    8.2670   -9.1823
    2.0000    8.3303   -9.0709
    2.0000    8.4751   -9.0304
    2.0000    8.6833   -9.1013
    2.0000    8.7828   -9.1519
    2.0000    8.9638   -9.1418
    2.0000    9.2081   -9.2228
    2.0000    9.4072   -9.2532
    2.0000    9.7149   -9.4253
    2.0000   10.0045   -9.5468
    2.0000   10.2670   -9.7291
    2.0000   10.5566   -9.9316
    2.0000   10.7104  -10.0835
    2.0000   10.7014  -10.3671
    2.0000   10.6471  -10.4785
    2.0000   10.3665  -10.4785
    2.0000   10.1584  -10.4278
    2.0000    9.9955  -10.3468
    2.0000    9.8688  -10.2354
    2.0000    9.7149  -10.2759
    2.0000    9.5249  -10.1747
    2.0000    9.2805  -10.0532
    2.0000    9.1086  -10.1038
    3.0000    9.1991   -9.1215
    3.0000    9.3891   -9.1215
    3.0000    9.6335   -9.2430
    3.0000    9.8416   -9.3443
    3.0000   10.1403   -9.4456
    3.0000   10.4118   -9.6177
    3.0000   10.7014   -9.8202
    3.0000   10.9276  -10.0937
    3.0000   10.9910  -10.4886
    3.0000   10.8733  -10.7620
    3.0000   10.8190  -10.9949
    3.0000   10.7919  -11.1367
    3.0000   10.5928  -11.0354
    3.0000   10.4661  -10.9747
    3.0000   10.3303  -11.1975
    3.0000   10.3213  -11.2278
    3.0000   10.5385  -11.3392
    3.0000   10.7919  -11.4304
    3.0000   10.8914  -11.6430
    3.0000   10.9638  -11.7443
    3.0000   10.9638  -11.9671
    3.0000   10.8100  -12.1595
    3.0000   10.6471  -12.0886
    3.0000   10.4570  -12.0684
    3.0000   10.2760  -12.0380
    3.0000   10.0769  -11.9165
    3.0000    9.9231  -11.7544
    3.0000    9.8235  -11.6025
    3.0000    9.8597  -11.3899
    3.0000   10.0317  -11.3089
    3.0000   10.1946  -11.4203
    3.0000   10.2308  -11.0658
    3.0000   10.1946  -10.8633
    3.0000   10.0407  -10.6101
    3.0000    9.8688  -10.6405
    3.0000    9.7149  -10.4684
    3.0000    9.6516  -10.6304
    3.0000    9.4525  -10.8228
    3.0000    9.4796  -10.9949
    3.0000    9.5339  -11.1772
    3.0000    9.5973  -11.2987
    3.0000    9.5611  -11.4405
    3.0000    9.5249  -11.3595
    3.0000    9.5249  -11.2481
    3.0000    9.4163  -11.1468
    3.0000    9.2624  -11.1975
    3.0000    9.1810  -11.0253
    3.0000    9.2081  -10.8532
    3.0000    9.1176  -10.7722
    3.0000    8.9728  -10.9646
    3.0000    8.8461  -10.8532
    3.0000    9.0000  -10.6608
    3.0000    8.8461  -10.5190
    3.0000    8.8190  -10.3063
    3.0000    8.8461  -10.0835
    3.0000    8.6833  -10.0025
    3.0000    8.4751   -9.8304
    3.0000    8.3394   -9.6886
    3.0000    8.2308   -9.5165
    3.0000    8.1946   -9.3747
    3.0000    8.1946   -9.1418
    3.0000    8.3394   -9.0101
    3.0000    8.4751   -8.8886
    3.0000    8.5747   -8.9899
    3.0000    8.8009   -9.0000
    3.0000    9.0181   -9.0101
    4.0000    8.8009   -8.6760
    4.0000    8.9548   -8.8683
    4.0000    9.1720   -8.9696
    4.0000    9.4163   -8.9899
    4.0000    9.5339   -9.1418
    4.0000    9.7511   -9.1519
    4.0000    9.9321   -9.2127
    4.0000   10.1222   -9.3240
    4.0000   10.3122   -9.3646
    4.0000   10.5656   -9.5266
    4.0000   10.7376   -9.6886
    4.0000   10.9095   -9.8608
    4.0000   11.0633  -10.0633
    4.0000   11.1810  -10.2759
    4.0000   11.1991  -10.5291
    4.0000   11.1629  -10.8228
    4.0000   11.1357  -11.1063
    4.0000   11.1629  -11.4000
    4.0000   11.1991  -11.6633
    4.0000   11.2896  -11.9367
    4.0000   11.2262  -12.1494
    4.0000   11.1086  -12.2608
    4.0000   10.9457  -12.3114
    4.0000   10.7376  -12.3114
    4.0000   10.4932  -12.2000
    4.0000   10.3303  -12.2506
    4.0000   10.2579  -12.1595
    4.0000   10.1222  -12.0886
    4.0000   10.0136  -11.9975
    4.0000    9.8959  -11.9063
    4.0000    9.7149  -11.8759
    4.0000    9.5973  -11.7848
    4.0000    9.3891  -11.7443
    4.0000    9.2534  -11.7443
    4.0000    9.1357  -11.5823
    4.0000    9.2534  -11.4203
    4.0000    9.0452  -11.0456
    4.0000    8.9548  -11.0152
    4.0000    8.8190  -10.8633
    4.0000    8.9548  -10.6506
    4.0000    8.8190  -10.6203
    4.0000    8.6833  -10.4785
    4.0000    8.6742  -10.2861
    4.0000    8.7919  -10.0937
    4.0000    8.6290  -10.0633
    4.0000    8.5204   -9.9114
    4.0000    8.3303   -9.8000
    4.0000    8.2127   -9.5772
    4.0000    8.1855   -9.1316
    4.0000    8.4932   -8.8278
    4.0000    8.6471   -8.9291
    4.0000    8.6923   -8.7772


 
